Rod,Type,Lvl,LT,HT,Action,Stiffness,Power,Length,Max Load,Cost,Stars,Bonus,Bonus 2,Bonus 3,Bonus 4,Bonus 5,Bonus 6,Bonus 7,Bonus 8
Falcon Match 360,Match,25,10,55,Fast,5,Medium,3.6,42.6,2463.0,4,,,,,,,,
Falcon Match 390,Match,25,10,55,Fast,5,Medium,3.9,42.6,4489.0,4,,,,,,,,
Falcon Match 390XH,Match,25,30,250,Medium,7,Extra Heavy,3.9,44.1,4597.0,4,,,,,,,,
Rebellion Match 390H,Match,28,12,60,Fast,6,Heavy,3.9,41.2,5199.0,4.5,+5% to 'Float fishing' skill, +2 to the 'Using a match rig' ability, +2 to the 'Use of Carp Hair Rig' ability, +2 to the 'Use of Carp Hair Pop-Up Rig' ability,,,,
Rebellion Match 420H,Match,28,12,60,Fast,6,Heavy,4.2,41.2,5395.0,4.5,+5% to 'Float fishing' skill, +2 to the 'Using a match rig' ability, +2 to the 'Use of Carp Hair Rig' ability, +2 to the 'Use of Carp Hair Pop-Up Rig' ability,,,,
Raven Match 320,Match,26,2,8,Medium,3,Light,3.2,18,5440.0,4.5,+5% to 'Float fishing' skill, +2 to the 'Fishing with a match rod' ability,L - 50% Bonus to XP,,,,,
Raven Match 340,Match,26,5,35,Medium,3,Medium,3.4,36,5557.0,4.5,+5% to 'Float fishing' skill, +2 to the 'Fishing with a match rod' ability,,,,,,
Raven Match 360,Match,26,12,54,Medium,4,Heavy,3.6,40,5557.0,4.5,+5% to 'Float fishing' skill, +2 to the 'Fishing with a match rod' ability,,,,,,
Rebellion Match 450LC,Match,28,8,42,Medium,7,Medium Heavy,4.5,15,5988.0,4.5,+10% to casting distance, +2 to the 'Using a match rig' ability, +2 to the 'Use of Carp Hair Rig' ability, +2 to the 'Use of Carp Hair Pop-Up Rig' ability,,,,
Shooting Match 420,Match,27,5,50,Slow,2,Medium Heavy,4.2,52,6248.0,4.5,+10% to casting distance,,,,,,,
Shooting Match 450,Match,27,30,250,Slow,5,Extra Heavy,4.5,58,6602.0,4.5,+10% to casting distance,,,,,,,
Plasma Match 320,Match,28,3,21,Medium,3,Light,3.2,22,7327.0,5,+7% to 'Float fishing' skill, +1 to the 'Using a match rig' ability, +1 to the 'Use of Carp Hair Rig' ability, +1 to the 'Use of Carp Hair Pop-Up Rig' ability,L - 50% Bonus to XP,,,
Plasma Match 340,Match,28,4,28,Medium,3,Medium Light,3.4,34,7327.0,5,+7% to 'Float fishing' skill, +1 to the 'Using a match rig' ability, +1 to the 'Use of Carp Hair Rig' ability, +1 to the 'Use of Carp Hair Pop-Up Rig' ability,,,,
Plasma Match 380,Match,28,5,45,Medium,4,Medium,3.8,46,7685.0,5,+7% to 'Float fishing' skill, +1 to the 'Using a match rig' ability, +1 to the 'Use of Carp Hair Rig' ability, +1 to the 'Use of Carp Hair Pop-Up Rig' ability,,,,
Plasma Match 420,Match,28,8,56,Medium,4,Medium Heavy,4.2,54,7994.0,5,+7% to 'Float fishing' skill, +1 to the 'Using a match rig' ability, +1 to the 'Use of Carp Hair Rig' ability, +1 to the 'Use of Carp Hair Pop-Up Rig' ability,,,,
Monster Match 320,Match,30,4.5,28,Fast,5,Medium Light,3.2,31.5,11197.0,5, +3 to the 'Using a match rig' ability, +3 to the 'Use of Carp Hair Rig' ability, +3 to the 'Use of Carp Hair Pop-Up Rig' ability, +3 to the 'Fishing with a match rod' ability,ML - 25% Bonus to XP,,,
Monster Match 360,Match,30,6,42,Fast,5,Medium,3.6,50,11568.0,5, +3 to the 'Using a match rig' ability, +3 to the 'Use of Carp Hair Rig' ability, +3 to the 'Use of Carp Hair Pop-Up Rig' ability, +3 to the 'Fishing with a match rod' ability,,,,
Monster Match 400,Match,30,7,49,Fast,5,Medium Heavy,4,58,14065.0,5, +3 to the 'Using a match rig' ability, +3 to the 'Use of Carp Hair Rig' ability, +3 to the 'Use of Carp Hair Pop-Up Rig' ability, +3 to the 'Fishing with a match rod' ability,,,,
Monster Match 440,Match,32,12,60,Fast,6,Heavy,4.4,65,15900.0,5, +3 to the 'Using a match rig' ability, +3 to the 'Use of Carp Hair Rig' ability, +3 to the 'Use of Carp Hair Pop-Up Rig' ability, +3 to the 'Fishing with a match rod' ability,,,,
Palmar PCK78,Picker ,7,5,35,Medium,6,Medium,2.4,6.2,268.0,1.5,,,,,,,,
Palmar PCK88,Picker ,7,5,35,Medium,6,Medium,2.7,6.2,288.0,1.5,,,,,,,,
Fortuna Picker P300-MH,Picker ,10,7,35,Medium,5,Medium Heavy,3,12.8,389.0,2,,,,,,,,
Persey PCK98,Picker ,9,5,40,Slow,5,Medium,3,11,485.0,2,,,,,,,,
Impuls P300,Picker ,12,10,50,Medium,5,Medium Heavy,3,10,659.0,0.5,,,,,,,,
Mechta P240,Picker ,14,10,40,Fast,6,Medium,2.4,14,800.0,3.5,,,,,,,,
Mechta P270,Picker ,14,15,50,Fast,6,Medium Heavy,2.7,15,810.0,3.5,,,,,,,,
Model Two Picker 270M,Picker ,14,5,21,Fast,6,Medium,2.7,6.2,819.0,3,+5% to 'Bottom fishing' skill,,,,,,,
Mechta P300,Picker ,14,20,60,Fast,6,Heavy,3,16,840.0,3.5,,,,,,,,
Model Two Picker 300MH,Picker ,14,8,32,Fast,7,Medium Heavy,3,11.1,899.0,3,+5% to 'Bottom fishing' skill,,,,,,,
Model One Picker 240M,Picker ,16,4,18,Medium,3,Medium,2.4,18.9,1146.0,3.5,,,,,,,,
Model One Picker 270M,Picker ,16,7,35,Medium,4,Medium,2.7,27.6,1189.0,3.5,,,,,,,,
Model One Picker 300MH,Picker ,16,9,41,Medium,4,Medium Heavy,3,32.4,1254.0,3.5,,,,,,,,
Wingate Picker PF98H,Picker ,20,12,45,Fast,5,Heavy,3,26,1799.0,3.5,,,,,,,,
Bunessan Picker PF88H,Picker ,24,8,24,Fast,7,Heavy,2.7,10.4,2799.0,4, +2 to the 'Using an in-line rig' ability, +2 to the 'Using a paternoster rig' ability, +2 to the 'Using a loop rig' ability,,,,,
Bunessan Picker PXF88XH,Picker ,24,12,28,Extra Fast,8,Extra Heavy,2.7,13.1,2799.0,4, +2 to the 'Using an in-line rig' ability, +2 to the 'Using a paternoster rig' ability, +2 to the 'Using a loop rig' ability,,,,,
Bunessan Picker PF98XH,Picker ,24,15,45,Fast,9,Extra Heavy,3,14.9,2912.0,4, +2 to the 'Using an in-line rig' ability, +2 to the 'Using a paternoster rig' ability, +2 to the 'Using a loop rig' ability,,,,,
Blackwood Picker PSL98MH,Picker ,25,10,50,Slow,7,Medium Heavy,3,18,4147.0,4.5,+10% to casting distance,,,,,,,
Royal Picker PM88MH,Picker ,26,10,40,Medium,7,Medium Heavy,2.7,29.5,4966.0,4.5,+10% to 'Bottom fishing' skill,,,,,,,
Royal Picker PF98H,Picker ,26,12,36,Fast,8,Heavy,3,24.5,5024.0,4.5,+10% to 'Bottom fishing' skill,,,,,,,
Royal Picker PM98H,Picker ,26,15,55,Medium,8,Heavy,3,29.4,5163.0,4.5,+10% to 'Bottom fishing' skill,,,,,,,
Corona S60L,Spinning,1,2,10,Medium,3,Light,1.8,3.9,19.0,0.5,L - 50% Bonus to XP,,,,,,,
Corona S60MH,Spinning,1,10,30,Extra Fast,7,Medium Heavy,1.8,4.2,20.0,0.5,,,,,,,,
Corona S66MH,Spinning,1,10,30,Extra Fast,7,Medium Heavy,2,4.2,24.0,0.5,,,,,,,,
Corona S66H,Spinning,1,15,60,Fast,9,Heavy,2,5.4,34.0,0.5,,,,,,,,
Corona S70H,Spinning,1,15,60,Fast,9,Heavy,2.1,5.4,36.0,0.5,,,,,,,,
Dynamic S60MH,Spinning,3,10,30,Fast,7,Medium Heavy,1.8,5.9,86.0,1,,,,,,,,
Dynamic S66H,Spinning,3,15,45,Extra Fast,8,Heavy,2,6.5,91.0,1,,,,,,,,
Dynamic S70MH,Spinning,3,10,30,Fast,7,Medium Heavy,2.1,5.9,103.0,1,,,,,,,,
Arrow S60L,Spinning,5,3,10.5,Medium,6,Light,1.8,5,162.0,1.5,L - 50% Bonus to XP,,,,,,,
Arrow S66M,Spinning,5,6,20,Fast,6,Medium,2,7,169.0,1.5,,,,,,,,
Arrow S60UL,Spinning,5,1,7,Fast,5,Ultra Light,1.8,3,170.0,1.5,UL - 100% Bonus to XP,,,,,,,
Arrow S70M,Spinning,5,4,16,Medium,7,Medium,2.1,7,174.0,1.5,,,,,,,,
Comfort SF60MH,Spinning,2,10,30,Fast,8,Medium Heavy,1.8,10,182.0,1.5,,,,,,,,
Comfort SXF68H,Spinning,6,20,50,Extra Fast,10,Heavy,2,11,190.0,1.5,,,,,,,,
Comfort SF70MH,Spinning,6,10,30,Fast,8,Medium Heavy,2.1,10,196.0,1.5,,,,,,,,
Comfort SF70XH,Spinning,6,40,100,Fast,10,Extra Heavy,2.1,13,196.0,1.5,,,,,,,,
Comfort SF78M,Spinning,6,5,25,Fast,7,Medium,2.4,9,204.0,1.5,,,,,,,,
Comfort SXF78H,Spinning,6,20,50,Extra Fast,10,Heavy,2.4,11,204.0,1.5,,,,,,,,
Heavy S70H,Spinning,7,18,40,Extra Fast,8,Heavy,2.1,11,210.0,2,,,,,,,,
Comfort SF88MH,Spinning,6,10,30,Fast,8,Medium Heavy,2.7,10,204.0,1.5,,,,,,,,
Comfort SF88XH,Spinning,6,40,100,Fast,10,Extra Heavy,2.7,13,217.0,1.5,,,,,,,,
Comfort SXF88H,Spinning,6,20,50,Extra Fast,10,Heavy,2.7,11,204.0,1.5,,,,,,,,
Comfort SF98XH,Spinning,6,40,100,Fast,10,Extra Heavy,3,13,227.0,1.5,,,,,,,,
Comfort SXF98H,Spinning,6,20,50,Extra Fast,10,Heavy,3,11,227.0,1.5,,,,,,,,
Heavy S70XH,Spinning,7,25,80,Extra Fast,9,Extra Heavy,2.1,13.1,238.0,2,,,,,,,,
Heavy S80XH,Spinning,7,40,120,Fast,10,Extra Heavy,2.4,15.4,248.0,2,,,,,,,,
Premium Stick S60H,Spinning,8,7,28,Fast,7,Heavy,1.8,9.1,299.0,2,,,,,,,,
Premium Stick S60M,Spinning,8,5,15,Fast,7,Medium,1.8,7.7,299.0,2,,,,,,,,
Premium Stick S60MH,Spinning,8,7,21,Extra Fast,7,Medium Heavy,1.8,9,299.0,2,,,,,,,,
Premium Stick S66MH,Spinning,8,7,21,Extra Fast,7,Medium Heavy,2,9,309.0,2,,,,,,,,
Premium Stick S70H,Spinning,8,7,28,Fast,7,Heavy,2.1,9.1,315.0,2,,,,,,,,
Premium Stick S70MH,Spinning,8,7,21,Extra Fast,7,Medium Heavy,2.1,9,315.0,2,,,,,,,,
Premium Stick S80H,Spinning,8,7,28,Fast,7,Heavy,2.4,9.1,322.0,2,,,,,,,,
Premium Stick S90MH,Spinning,8,7,21,Extra Fast,7,Medium Heavy,2.7,9,348.0,2,,,,,,,,
Belmor SPF78M,Spinning,10,5,20,Fast,7,Heavy,2.4,12,398.0,2.5,,,,,,,,
Belmor SPF78MH,Spinning,10,7,28,Fast,7,Medium Heavy,2.4,13,419.0,2.5,,,,,,,,
Linear S60L,Spinning,10,2,10,Medium,6,Light,1.8,7,439.0,2,L - 50% Bonus to XP,,,,,,,
Linear S68ML,Spinning,10,3,15,Medium,6,Medium Light,2.1,11,445.0,2,ML - 25% Bonus to XP,,,,,,,
Belmor SPF88H,Spinning,10,12,48,Fast,8,Heavy,2.7,14,449.0,2.5,,,,,,,,
Belmor SPXF88XH,Spinning,10,20,60,Extra Fast,9,Extra Heavy,2.7,16,498.0,2.5,,,,,,,,
Linear S78MH,Spinning,10,10,30,Fast,8,Medium Heavy,2.4,13.5,498.0,2,,,,,,,,
Linear S78H,Spinning,10,12,45,Fast,7,Heavy,2.4,15.3,504.0,2,,,,,,,,
Linear S88H,Spinning,10,12,45,Fast,7,Heavy,2.7,15.3,508.0,2,,,,,,,,
Lait SSL60UL,Spinning,9,1,7,Slow,4,Ultra Light,1.8,4,519.0,2,UL - 100% Bonus to XP,,,,,,,
Lait SSL70L,Spinning,9,2,12,Slow,4,Light,2.1,7.5,539.0,2,L - 50% Bonus to XP,,,,,,,
Linear S98H,Spinning,10,12,45,Fast,7,Heavy,3,15.3,544.0,2,,,,,,,,
Lait SSL78ML,Spinning,9,3,15,Slow,4,Medium Light,2.4,11.5,559.0,2,ML - 25% Bonus to XP,,,,,,,
Linear S88XH,Spinning,10,40,80,Extra Fast,10,Extra Heavy,2.7,20.1,568.0,2,,,,,,,,
Fortuna S60H,Spinning,12,12,28,Extra Fast,8,Heavy,1.8,14,635.0,2.5, +1 to the 'Jigging' ability,,,,,,,
Fortuna S60MH,Spinning,12,7,21,Extra Fast,8,Medium Heavy,1.8,13.5,635.0,2.5, +1 to the 'Jigging' ability,,,,,,,
Fortuna S66MH,Spinning,12,7,21,Extra Fast,8,Medium Heavy,2,13.5,648.0,2.5, +1 to the 'Jigging' ability,,,,,,,
Fortuna S68MH,Spinning,12,7,28,Fast,6,Medium Heavy,2.1,14.5,667.0,2.5, +1 to the 'Jigging' ability,,,,,,,
Karelia SPM66L,Spinning,12,2,10,Medium,5,Light,2,10.2,740.0,3,L - 50% Bonus to XP,,,,,,,
Karelia SPM68ML,Spinning,12,4,16,Medium,5,Medium Light,2.1,12,746.0,3,ML - 25% Bonus to XP,,,,,,,
Karelia SPF78M,Spinning,12,5,20,Fast,5,Medium,2.4,16,749.0,3,,,,,,,,
Inspiration S60UL,Spinning,13,1,4,Fast,5,Ultra Light,1.8,4.5,799.0,2.5,UL - 100% Bonus to XP,,,,,,,
Inspiration S68L,Spinning,13,3,12,Fast,5,Light,2.1,12.1,808.0,2.5,L - 50% Bonus to XP,,,,,,,
Inspiration S68UL,Spinning,13,1,4,Fast,5,Ultra Light,2.1,4.5,808.0,2.5,UL - 100% Bonus to XP,,,,,,,
Inspiration S78L,Spinning,13,3,12,Fast,5,Light,2.4,12.1,814.0,2.5,L - 50% Bonus to XP,,,,,,,
Inspiration S78ML,Spinning,13,4,20,Medium,6,Medium Light,2.4,14,814.0,2.5,ML - 25% Bonus to XP,,,,,,,
Super Duty S78H,Spinning,12,14,70,Medium,7,Heavy,2.4,30.4,898.0,2.5,,,,,,,,
Super Duty S78MH,Spinning,12,15,45,Extra Fast,8,Medium Heavy,2.4,30,898.0,2.5,,,,,,,,
Mechta SF60MH,Spinning,14,7,30,Fast,7,Medium Heavy,1.8,20,920.0,3,,,,,,,,
Mechta SF68ML,Spinning,14,4,17,Fast,6,Medium Light,2,17,920.0,3,ML - 25% Bonus to XP,,,,,,,
Super Duty S88H,Spinning,12,14,70,Medium,7,Heavy,2.7,30.4,922.0,2.5,,,,,,,,
Mechta SM70L,Spinning,14,2,10,Medium,4,Light,2.1,13,930.0,3,L - 50% Bonus to XP,,,,,,,
Mechta SM70UL,Spinning,14,1,7,Medium,4,Ultra Light,2.1,5.1,930.0,3,UL - 100% Bonus to XP,,,,,,,
Mechta SXF70MH,Spinning,14,10,35,Extra Fast,7,Medium Heavy,2.1,19,930.0,3,,,,,,,,
Mechta SF78MH,Spinning,14,7,30,Fast,7,Medium Heavy,2.4,20,940.0,3,,,,,,,,
Mechta SXF78XH,Spinning,14,25,90,Extra Fast,9,Extra Heavy,2.4,23,940.0,3,,,,,,,,
Mechta SM88MH,Spinning,14,7,35,Medium,6,Medium Heavy,2.7,17,960.0,3,,,,,,,,
Mechta SXF88H,Spinning,14,15,50,Extra Fast,8,Heavy,2.7,21,960.0,3,,,,,,,,
Super Duty S88XH,Spinning,12,25,100,Fast,8,Extra Heavy,2.7,38.2,1112.0,2.5,,,,,,,,
Model One S78M,Spinning,15,5,30,Medium,4,Medium,2.4,29.8,1233.0,3,,,,,,,,
Model One S78ML,Spinning,15,6,24,Fast,5,Medium Light,2.4,28.2,1253.0,3,ML - 25% Bonus to XP,,,,,,,
Model One S78L,Spinning,15,2,10,Fast,5,Light,2.4,20.3,1255.0,3,L - 50% Bonus to XP,,,,,,,
Model One S88MH,Spinning,15,10,35,Fast,6,Medium Heavy,2.7,33,1277.0,3,,,,,,,,
Model One S98H,Spinning,15,15,50,Fast,6,Heavy,3,45.8,1351.0,3,,,,,,,,
Aeros SP60ML,Spinning,16,4,16,Fast,5,Medium Light,1.8,29,1505.0,4,ML - 25% Bonus to XP,,,,,,,
Aeros SP60UL,Spinning,16,1,4,Fast,5,Ultra Light,1.8,6.5,1560.0,4,UL - 100% Bonus to XP,,,,,,,
Aeros SP68MH,Spinning,16,7,28,Fast,6,Medium Heavy,2.1,34.5,1560.0,4,,,,,,,,
Ventura SPF66ML,Spinning,16,3.5,14,Fast,5,Medium Light,2,22,1590.0,4,ML - 25% Bonus to XP,,,,,,,
Ventura SPF70M,Spinning,16,7,17.5,Extra Fast,6,Medium,2.1,26,1590.0,4,,,,,,,,
Ventura SPXF66MH,Spinning,16,10.5,28,Extra Fast,6,Medium Heavy,2,30,1699.0,4,,,,,,,,
Ethnic SPF66MH,Spinning,16,7,21,Fast,7,Medium Heavy,2,26,1710.0,4,,,,,,,,
Ventura SPF70MH,Spinning,16,7,21,Fast,5,Medium Heavy,2.1,31,1766.0,4,,,,,,,,
Ventura SPF70H,Spinning,16,7,28,Fast,5,Heavy,2.1,34.1,1810.0,4,,,,,,,,
Ethnic SPF78MH,Spinning,16,7,21,Fast,7,Medium Heavy,2.4,26,1864.0,4,,,,,,,,
Ethnic SPF88MH,Spinning,16,7,21,Fast,7,Medium Heavy,2.7,26,1886.0,4,,,,,,,,
Ethnic SPM68UL,Spinning,16,1,5,Medium,3,Ultra Light,2.1,7,1899.0,4,UL - 100% Bonus to XP,,,,,,,
Ethnic SPM88MH,Spinning,16,7,28,Medium,5,Medium Heavy,2.7,27,1919.0,4,,,,,,,,
Ethnic SPM78L,Spinning,16,2,10,Medium,4,Light,2.4,17,1974.0,4,L - 50% Bonus to XP,,,,,,,
Integra SPF66M,Spinning,18,6,16,Fast,5,Medium,2,31.1,2029.0,4,,,,,,,,
Integra SPF66MH,Spinning,18,7,21,Fast,5,Medium Heavy,2,33.3,2029.0,4,,,,,,,,
Ethnic SPXF78H,Spinning,16,12,36,Extra Fast,7,Heavy,2.4,36.1,2084.0,4,,,,,,,,
Integra SPF70M,Spinning,18,5,17.5,Fast,5,Medium,2.1,32.2,2095.0,4,,,,,,,,
Integra SPF70MH,Spinning,18,7,21,Fast,5,Medium Heavy,2.1,33.3,2095.0,4,,,,,,,,
Ethnic SPXF98H,Spinning,16,12,36,Extra Fast,7,Heavy,3,36.1,2139.0,4,,,,,,,,
Integra SPF77M,Spinning,18,5,17.5,Fast,5,Medium,2.4,32.2,2139.0,4,,,,,,,,
Integra SPF70ML,Spinning,18,3.5,12,Fast,5,Medium Light,2.1,26,2361.0,4,ML - 25% Bonus to XP,,,,,,,
Cardena SPF60L,Spinning,20,2,7,Fast,5,Light,1.8,16,2114.0,4,L - 50% Bonus to XP,,,,,,,
Cardena SPM68L,Spinning,20,2,10,Medium,4,Light,2.1,25.9,2614.0,4,L - 50% Bonus to XP,,,,,,,
Cardena SPM68UL,Spinning,20,1,5,Medium,4,Ultra Light,2.1,8,2626.0,4,UL - 100% Bonus to XP,,,,,,,
Cardena SPM78ML,Spinning,20,3,14,Medium,4,Medium Light,2.4,33.8,2715.0,4,ML - 25% Bonus to XP,,,,,,,
Versa SPF66M,Spinning,22,7,19,Fast,7,Medium,2,33.1,3022.0,4,,,,,,,,
Versa SPF66ML,Spinning,22,4,14,Fast,6,Medium Light,2,28.1,3022.0,4,ML - 25% Bonus to XP,,,,,,,
Versa SPF70UL,Spinning,22,1,5,Fast,5,Ultra Light,2.1,8.5,3135.0,4,UL - 100% Bonus to XP,,,,,,,
Versa SPF77M,Spinning,22,7,19,Fast,7,Medium,2.4,33.1,3135.0,4,,,,,,,,
Versa SPF77XH,Spinning,22,12,42,Fast,8,Extra Heavy,2.4,35,3135.0,4,,,,,,,,
Versa SPM70L,Spinning,22,2.5,12,Medium,5,Light,2.1,21,3135.0,4,L - 50% Bonus to XP,,,,,,,
Evora SPM78ML,Spinning,24,5,20,Medium,6,Medium Light,2.4,41.1,3238.0,4,+10% to Casting Distance,ML - 25% Bonus to XP,,,,,,
Versa SPF88H,Spinning,22,7,28,Fast,7,Heavy,2.7,35.5,3259.0,4,,,,,,,,
Versa SPF88MH,Spinning,22,7,21,Fast,7,Medium Heavy,2.7,33.1,3259.0,4,,,,,,,,
Evora SPSL88MH,Spinning,24,8,40,Slow,6,Medium Heavy,2.7,48.4,3464.0,4,+10% to Casting Distance,,,,,,,
Evora SPM98H,Spinning,24,10,42,Medium,7,Heavy,3,49.2,3669.0,4,+10% to Casting Distance,,,,,,,
Pulse SPF60UL,Spinning,24,1.5,5,Fast,6,Ultra Light,1.8,9,3815.0,4, +1 to the 'Jigging' ability, +1 to the 'Using a three-way rig' ability, +1 to the 'Using a Texas rig' ability, +1 to the 'Using a drop-shot rig' ability, +1 to the 'Using a Carolina rig' ability, +1 to the 'Using a Wacky rig' ability,UL - 100% Bonus to XP,
Pulse SPF66L,Spinning,24,2.5,9,Fast,7,Light,2,15,3815.0,4, +1 to the 'Jigging' ability, +1 to the 'Using a three-way rig' ability, +1 to the 'Using a Texas rig' ability, +1 to the 'Using a drop-shot rig' ability, +1 to the 'Using a Carolina rig' ability, +1 to the 'Using a Wacky rig' ability,L - 50% Bonus to XP,
Pulse SPF66ML,Spinning,24,4,14,Fast,7,Medium Light,2,25.4,3815.0,4, +1 to the 'Jigging' ability, +1 to the 'Using a three-way rig' ability, +1 to the 'Using a Texas rig' ability, +1 to the 'Using a drop-shot rig' ability, +1 to the 'Using a Carolina rig' ability, +1 to the 'Using a Wacky rig' ability,ML - 25% Bonus to XP,
Pulse SPXF70M,Spinning,24,7,17.5,Extra Fast,8,Medium,2.1,26.1,3929.0,4, +1 to the 'Jigging' ability, +1 to the 'Using a three-way rig' ability, +1 to the 'Using a Texas rig' ability, +1 to the 'Using a drop-shot rig' ability, +1 to the 'Using a Carolina rig' ability, +1 to the 'Using a Wacky rig' ability,,
Pulse SPF77H,Spinning,24,7,28,Fast,8,Heavy,2.4,28,3986.0,4, +1 to the 'Jigging' ability, +1 to the 'Using a three-way rig' ability, +1 to the 'Using a Texas rig' ability, +1 to the 'Using a drop-shot rig' ability, +1 to the 'Using a Carolina rig' ability, +1 to the 'Using a Wacky rig' ability,,
Pulse SPF77MH,Spinning,24,7,21,Fast,8,Medium Heavy,2.4,26.2,3986.0,4, +1 to the 'Jigging' ability, +1 to the 'Using a three-way rig' ability, +1 to the 'Using a Texas rig' ability, +1 to the 'Using a drop-shot rig' ability, +1 to the 'Using a Carolina rig' ability, +1 to the 'Using a Wacky rig' ability,,
Palmera UL SPM68UL,Spinning,25,1,4,Medium,3,Ultra Light,2.1,13.6,4113.0,4.5,UL - 100% Bonus to XP,,,,,,,
Barracuda SPM68M,Spinning,25,5,25,Medium,3,Medium,2.1,83.7,4274.0,4,,,,,,,,
Advent S-F66L,Spinning,26,3,9,Fast,7,Light,2,23.1,4383.0,4.5,L - 50% Bonus to XP,,,,,,,
Advent S-F66ML,Spinning,26,4,12,Fast,7,Medium Light,2,31.3,4383.0,4.5,ML - 25% Bonus to XP,,,,,,,
Barracuda SPM78M,Spinning,25,4,18,Medium,3,Medium,2.4,82.6,4389.0,4,,,,,,,,
Advent S-F70MH,Spinning,26,5,28,Fast,7,Medium Heavy,2.1,32,4501.0,4.5,,,,,,,,
Advent S-F70H,Spinning,26,8,42,Fast,8,Heavy,2.1,45,4570.0,4.5,,,,,,,,
Advent S-F70HH,Spinning,26,10,56,Fast,9,Extra Heavy,2.1,50,4605.0,4.5,,,,,,,,
Advent S-F70HHH,Spinning,26,21,70,Fast,10,Extra Heavy,2.1,53,4709.0,4.5,,,,,,,,
Advent S-F86HH,Spinning,26,10,56,Fast,9,Extra Heavy,2.6,50,4813.0,4.5,,,,,,,,
Barracuda SPSL88MH,Spinning,25,7,45,Slow,2,Medium Heavy,2.7,102.6,4839.0,4,,,,,,,,
Barracuda SPM88M,Spinning,25,5,25,Medium,3,Medium,2.7,83.7,4850.0,4,,,,,,,,
Advent S-F93MH,Spinning,26,5,28,Fast,7,Medium Heavy,2.8,32,4859.0,4.5,,,,,,,,
Palmera UL SPM78L,Spinning,25,2,9,Medium,3,Light,2.4,39.7,4920.0,4.5,L - 50% Bonus to XP,,,,,,,
Advent S-F96H,Spinning,26,8,42,Fast,8,Heavy,2.9,45,4929.0,4.5,,,,,,,,
Advent S-F100HHH,Spinning,26,21,70,Fast,10,Extra Heavy,3,53,4995.0,4.5,,,,,,,,
Legend SPF66L,Spinning,26,2,8,Fast,6,Light,1.8,16,5081.0,4.5, +5% to 'Spin Fishing' skill, +1 to the 'Fishing with a wobbler' ability,L - 50% Bonus to XP,,,,,
Legend SPF66M,Spinning,26,5,17.5,Fast,6,Medium,1.8,39.5,5313.0,4.5, +5% to 'Spin Fishing' skill, +1 to the 'Fishing with a wobbler' ability,,,,,,
Legend SPF66UL,Spinning,26,1,5,Fast,5,Ultra Light,1.8,10.1,5313.0,4.5, +5% to 'Spin Fishing' skill, +1 to the 'Fishing with a wobbler' ability,UL - 100% Bonus to XP,,,,,
Legend SPF68ML,Spinning,26,3.5,12,Fast,6,Medium Light,2,29,5313.0,4.5, +5% to 'Spin Fishing' skill, +1 to the 'Fishing with a wobbler' ability,ML - 25% Bonus to XP,,,,,
Barracuda SPM88H,Spinning,25,15,80,Medium,3,Heavy,2.7,100.9,5315.0,4,,,,,,,,
Legend SPF70M,Spinning,26,5,17.5,Fast,6,Medium,2.1,39.5,5383.0,4.5, +5% to 'Spin Fishing' skill, +1 to the 'Fishing with a wobbler' ability,,,,,,
Legend SPF70MH,Spinning,26,7,21,Fast,7,Medium Heavy,2.1,42.1,5383.0,4.5, +5% to 'Spin Fishing' skill, +1 to the 'Fishing with a wobbler' ability,,,,,,
Legend SPF77H,Spinning,26,10.5,28,Fast,8,Heavy,2.4,41.5,5383.0,4.5, +5% to 'Spin Fishing' skill, +1 to the 'Fishing with a wobbler' ability,,,,,,
Legend SPF77ML,Spinning,26,3.5,12,Fast,6,Medium Light,2.4,29,5441.0,4.5, +5% to 'Spin Fishing' skill, +1 to the 'Fishing with a wobbler' ability,ML - 25% Bonus to XP,,,,,
Legend SPF77XH,Spinning,26,12,42,Fast,9,Extra Heavy,2.4,42.5,5441.0,4.5, +5% to 'Spin Fishing' skill, +1 to the 'Fishing with a wobbler' ability,,,,,,
Armada SPF60MH,Spinning,26,7,21,Fast,8,Medium Heavy,1.8,22.8,5536.0,4.5, +2 to the 'Jigging' ability, +2 to the 'Using a three-way rig' ability, +2 to the 'Using a Texas rig' ability, +2 to the 'Using a drop-shot rig' ability, +2 to the 'Using a Carolina rig' ability,,,
Armada SPF60M,Spinning,26,5,14,Fast,8,Medium,1.8,16.8,5542.0,4.5, +2 to the 'Jigging' ability, +2 to the 'Using a three-way rig' ability, +2 to the 'Using a Texas rig' ability, +2 to the 'Using a drop-shot rig' ability, +2 to the 'Using a Carolina rig' ability,,,
Armada SPEF68M,Spinning,26,4,10,Extra Fast,7,Medium,2.1,13.8,5700.0,4.5, +2 to the 'Jigging' ability, +2 to the 'Using a three-way rig' ability, +2 to the 'Using a Texas rig' ability, +2 to the 'Using a drop-shot rig' ability, +2 to the 'Using a Carolina rig' ability,,,
Armada SPEF68H,Spinning,26,12,28,Extra Fast,9,Heavy,2.1,21.9,5770.0,4.5, +2 to the 'Jigging' ability, +2 to the 'Using a three-way rig' ability, +2 to the 'Using a Texas rig' ability, +2 to the 'Using a drop-shot rig' ability, +2 to the 'Using a Carolina rig' ability,,,
